Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Brett Leason,ANA,"$775,000","$800,000",2.0,0.9%,2026.0,Standard,RFA +arb,2023-24,J.P. Barry
Peyton Krebs,BUF,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Kevin Epp
Kaedan Korczak,VGK,"$789,167","$775,000",3.0,0.9%,2028.0,Entry Level,RFA,2023-24,Rick Valette
Alex Turcotte,L.A,"$894,167","$832,500",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Pat Brisson
Raphael Lavoie,EDM,"$874,125","$874,125",1.0,1%,2028.0,Standard,RFA +arb,2023-24,Philippe Lecavalier
Moritz Seider,DET,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Claude Lemieux
Nikita Alexandrov,STL,"$816,667","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Patrick Morris
Adam Beckman,MIN,"$894,167","$832,500",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Michael Kaye
Bobby Brink,PHI,"$925,000","$925,000",3.0,1.1%,2029.0,Entry Level,RFA +arb,2023-24,Ben Hankinson
Kaapo Kakko,NYR,"$2,100,000","$2,400,000",2.0,2.5%,2026.0,Standard,RFA +arb,2023-24,Andy Scott
Arthur Kaliyev,L.A,"$894,167","$832,500",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Ian Pulver
Henry Thrun,S.J,"$912,500","$925,000",2.0,1.1%,2029.0,Entry Level,RFA,2023-24,Matt Keator
Alex Vlasic,CHI,"$916,667","$925,000",3.0,1.1%,2028.0,Entry Level,RFA +arb,2023-24,Scott Bartlett
Philip Tomasino,NSH,"$863,334","$832,500",3.0,1%,2029.0,Entry Level,RFA,2023-24,Wade Arnott
Graeme Clarke,N.J,"$850,833","$867,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Randy Robitaille
Connor McMichael,WSH,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,David Gagner
Thomas Harley,DAL,"$863,334","$832,500",3.0,1%,2029.0,Entry Level,RFA,2023-24,Andy Scott
Nicholas Robertson,TOR,"$796,667","$775,000",3.0,1%,2029.0,Entry Level,RFA,2023-24,Pat Brisson
Egor Afanasyev,NSH,"$789,167","$775,000",3.0,0.9%,2028.0,Entry Level,RFA,2023-24,Daniel Milstein
Jakob Pelletier,CGY,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Olivier Fortier
Shane Pinto,OTT,"$775,000","$775,000",1.0,0.9%,2028.0,Standard,RFA +arb,2023-24,Lewis Gross
