Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Cole Perfetti,WPG,C,18,1.0833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Isaak Phillips,CHI,D,4,1.3333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Alexander Barabanov,S.J,L,70,0.96666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Artem Zub,OTT,D,81,149.75,0,0,0,0,0,0.00,1,0.00,0.0,3,1,1,0,0,0,2,1,1,0,0,1,7,2,10,0,17,0,0,-
Yegor Chinakhov,CBJ,R,62,1.1166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Daniil Miromanov,VGK,D,11,2.8,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Mike Hardman,CHI,L,21,0.11666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Matt Kiersted,FLA,D,10,8.3666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-
Jackson Cates,PHI,C,11,5.35,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.67
Janis Moser,ARI,D,43,65.416666666667,0,0,0,0,0,0.00,1,0.00,0.03,1,1,0,0,0,0,4,2,2,0,0,2,0,2,3,2,5,0,0,-
Matty Beniers,SEA,C,10,0.93333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
William Eklund,S.J,"C, L",9,0.23333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Owen Power,BUF,D,8,20.3,0,0,0,0,0,0.00,1,0.00,0.03,1,1,1,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,-
Cole Sillinger,CBJ,C,79,33.733333333333,0,0,0,0,0,-,2,0.00,0.26,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,8,17,32.00
Mason McTavish,ANA,C,9,3.1333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-
Kirill Semyonov,TOR,C,3,2.7666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
Jesper Froden,BOS,R,7,4.3,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
Marc McLaughlin,BOS,C,11,0.11666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nick Blankenburg,CBJ,D,7,4.3666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-
